,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
15,StAR:bPAC+,10,2.0543806646525677,4.3,0.8247422680412372,0.6185567010309279,1.0309278350515465,3.2989690721649487,2.4742268041237114,1.4432989690721651,1.2371134020618557,1.4432989690721651,0.6185567010309279,0.6185567010309279,5.773195876288661,0,0,0,0,0,0,0
16,StAR:bPAC+,10,0.5740181268882175,10.033333333333333,0.8247422680412372,1.0309278350515465,2.061855670103093,0.6185567010309279,0.6185567010309279,1.0309278350515465,0.6185567010309279,0.6185567010309279,1.2371134020618557,2.061855670103093,8.659793814432991,0,0,0,0,0,0,0
17,StAR:bPAC+,10,0.8157099697885196,9.166666666666666,1.6494845360824744,1.4432989690721651,1.8556701030927836,1.4432989690721651,1.4432989690721651,2.8865979381443303,3.711340206185567,0.8247422680412372,1.4432989690721651,0.8247422680412372,1.0309278350515465,0,0,0,0,0,0,0
18,StAR:bPAC+,10,0.9063444108761329,7.5,1.4432989690721651,1.0309278350515465,1.0309278350515465,1.4432989690721651,1.0309278350515465,1.6494845360824744,1.0309278350515465,0.8247422680412372,1.2371134020618557,1.6494845360824744,11.546391752577321,0,0,0,0,0,0,0
19,StAR:bPAC+,10,0.4833836858006042,1.2666666666666666,1.2371134020618557,1.0309278350515465,1.0309278350515465,1.0309278350515465,1.0309278350515465,1.0309278350515465,1.0309278350515465,1.0309278350515465,0.8247422680412372,0.8247422680412372,0.8247422680412372,0,0,0,0,0,0,0
20,StAR:bPAC-,0,0.9969788519637461,1.5333333333333334,0.6185567010309279,0.2061855670103093,1.0309278350515465,0.4123711340206186,0.8247422680412372,0.8247422680412372,2.2680412371134024,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
21,StAR:bPAC-,0,1.7522658610271902,4.066666666666666,3.711340206185567,4.536082474226805,1.0309278350515465,2.061855670103093,1.4432989690721651,2.4742268041237114,25.567010309278352,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
22,StAR:bPAC-,0,0.4833836858006042,1.0333333333333334,0.6185567010309279,0.8247422680412372,0.2061855670103093,0.4123711340206186,0.4123711340206186,0.4123711340206186,2.061855670103093,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
23,StAR:bPAC-,0,7.854984894259818,12.933333333333334,7.628865979381444,6.391752577319588,7.628865979381444,7.628865979381444,3.9175257731958766,7.422680412371134,18.350515463917528,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
24,StAR:bPAC-,0,3.202416918429003,15.166666666666666,4.3298969072164954,4.948453608247423,3.711340206185567,4.3298969072164954,4.536082474226805,3.505154639175258,57.31958762886598,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
25,StAR:bPAC-,10,0.36253776435045315,12.133333333333333,2.2680412371134024,2.680412371134021,1.6494845360824744,0.8247422680412372,2.061855670103093,2.8865979381443303,2.061855670103093,2.2680412371134024,3.9175257731958766,3.9175257731958766,8.45360824742268,0,0,0,0,0,0,0
26,StAR:bPAC-,10,0.7250755287009063,9.566666666666666,1.4432989690721651,1.8556701030927836,1.8556701030927836,1.8556701030927836,0.8247422680412372,2.061855670103093,1.6494845360824744,1.8556701030927836,0.6185567010309279,1.8556701030927836,1.2371134020618557,0,0,0,0,0,0,0
27,StAR:bPAC-,10,0.634441087613293,8.6,0.8247422680412372,2.061855670103093,1.8556701030927836,1.4432989690721651,0.6185567010309279,0.8247422680412372,1.2371134020618557,1.0309278350515465,0.4123711340206186,0.6185567010309279,1.6494845360824744,0,0,0,0,0,0,0
28,StAR:bPAC-,10,0.7250755287009063,8.6,1.0309278350515465,1.2371134020618557,1.2371134020618557,1.4432989690721651,1.4432989690721651,1.6494845360824744,1.2371134020618557,0.4123711340206186,0.8247422680412372,0.4123711340206186,0.8247422680412372,0,0,0,0,0,0,0
29,StAR:bPAC-,10,1.0271903323262839,5.366666666666666,1.8556701030927836,1.2371134020618557,1.4432989690721651,1.6494845360824744,1.2371134020618557,1.6494845360824744,1.6494845360824744,0.8247422680412372,2.2680412371134024,0.8247422680412372,8.659793814432991,0,0,0,0,0,0,0
30,TU,0,0.6042296072507553,1.5,0.6185567010309279,0.6185567010309279,1.0309278350515465,0.8247422680412372,0.6185567010309279,0.4123711340206186,6.185567010309279,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
31,TU,0,0.6948640483383686,1.0666666666666667,0.6185567010309279,0.6185567010309279,0.4123711340206186,1.2371134020618557,0.6185567010309279,0.6185567010309279,2.4742268041237114,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
32,TU,0,1.510574018126888,7.1,2.061855670103093,7.835051546391753,8.041237113402062,5.979381443298969,6.5979381443298974,7.628865979381444,5.567010309278351,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
33,TU,0,2.3867069486404833,8.5,1.2371134020618557,1.8556701030927836,1.4432989690721651,0.4123711340206186,2.680412371134021,4.123711340206186,26.5979381443299,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
34,TU,0,0.4833836858006042,1.7333333333333334,0.4123711340206186,1.4432989690721651,0.8247422680412372,0.8247422680412372,0.2061855670103093,0.6185567010309279,4.536082474226805,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
35,TU,10,0.9667673716012084,15.666666666666666,0.8247422680412372,1.2371134020618557,2.2680412371134024,0.8247422680412372,2.8865979381443303,1.0309278350515465,1.0309278350515465,2.2680412371134024,1.0309278350515465,1.8556701030927836,15.051546391752579,0,0,0,0,0,0,0
