,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
62,TU,10,7.1007679502690975,0.05782760255763105,3.2048744564105918,5.1964443959732325,1.9402369653605371,2.859488429783925,2.592388915900394,3.366795873929302,4.7984376127655715,1.1803434387187355,2.699105979635713,0.9048536347714171,0.006738674371021602,0
63,TU,10,1.7501626286095784,0.10791675392724813,6.807645642014187,4.368896068271601,2.8282232034387826,2.833265232466918,5.392167751337975,5.212425210072161,4.051256691704835,8.95072875383277,2.749334250548352,21.231626464159618,0.001761328540847423,0
64,StAR:bPAC+,10,4.530263586083194,0.4500988981251448,5.849444375061929,6.554815976044395,5.23075582420931,4.146099218737206,7.431579877799498,5.829381748847725,4.490807722038754,4.572414034394369,4.1642403442771325,4.240620937475971,9.573481294680887,0
65,StAR:bPAC+,10,5.451961595977408,0.7820990139254993,4.525531879805895,5.297604123166168,4.556471306846986,13.256043433862157,5.08613159851518,4.597694475895025,7.112200166296143,3.5354149293550443,3.3055866603849338,2.3109667152323827,2.4177281367972117,0
66,StAR:bPAC+,10,6.112714340409451,0.10753455361529826,3.9547256156827637,6.477473192498411,3.8077487666671734,5.090357798234696,3.612596146690932,3.9660677378427502,7.971061729111291,4.7409240714369325,8.388357554172202,3.8515439422595863,0.0035630272353098457,0
67,StAR:bPAC+,10,6.008644168970831,0.05250559686872496,3.9014151703866062,3.1873574193825056,6.78178907585311,3.401362150418135,5.4332731476328195,4.94324144170015,6.206514924255646,3.365988143961991,2.857451898296855,5.220707574062748,0.004951565208215834,0
68,StAR:bPAC+,10,6.494797260601592,0.11492360625731494,4.6820963065112275,3.0897637130577347,4.683474318817615,4.615310500911758,5.05422391793355,6.396444873204123,1.8776181179186815,1.0408050829090711,6.167559332094245,3.800834673086587,0.003246109483193689,0
69,StAR:bPAC-,10,0.5015748489250738,0.010398023289156564,2.924045279754856,9.532140675371735,4.148450543152249,2.0015852404561008,8.169508987959459,0.031278101377228876,0.005852108063171103,0.008980415939897075,0.011988789078951411,0.004517304440653166,0.004997918229455516,0
70,StAR:bPAC-,10,3.740087568156691,7.322854504810892,11.370594264943923,4.948182221065014,4.176184169578447,2.9343910514999645,11.298674421662705,6.837197931021554,4.391462924678702,13.624760314779214,12.852069746954172,11.708584555540813,6.299115588618896,0
71,StAR:bPAC-,10,7.141517156120163,0.047017294799227255,2.1857005196581896,1.905876557188239,7.3880471177330636,3.6297781382094803,6.594137556119445,3.654024209917712,2.516866339318821,1.8375738147343867,2.3954220525952064,1.064132570953188,0.003780716925880781,0
72,StAR:bPAC-,10,1.0833761028723041,0.007214478523816803,4.665361738631521,9.189873951213912,3.6027987535840347,1.6811763615191184,6.104649393090487,4.357267276066371,0.6004100988157307,0.10897259922819712,0.9889887393558212,0.02895729466643027,0.0048702383351168265,0
73,StAR:bPAC-,10,0.4585334531700927,0.033220462916427065,5.621704014135396,6.6047553355839925,6.398280745109191,4.0736992229579165,6.122512998370316,1.305145086592897,4.3511565488064345,4.004130299675267,3.2135154326176982,5.995005879698633,0.013588716296755784,0
