,Strain,Treatment,max0,max1,max2,max3,max4,max5,max6,max7,max8,max9
28,StAR:bPAC-,10,27.008619972334753,20.06327093023469,32.877555991206215,29.29293726446018,38.04282900482034,27.992209875785083,50.44987894782306,25.540479634102415,29.15250892976452,48.42244812398481
29,StAR:bPAC-,10,24.891141536285552,53.55156462084838,57.4828321153725,41.955178018528294,71.518458561147,49.33169982628209,39.66483929136734,29.101097999388287,71.07323563339438,60.723051789929
30,TU,0,5.9669674597151925,6.533111164131521,5.878633838741785,6.622567372250736,8.002193863741368,8.26083797476382,17.65487745072166,0.0,0.0,0.0
31,TU,0,21.109041365727627,15.197536958668667,8.337214848670987,3.666183555142865,4.037829101138377,16.60894025066019,31.956335912912476,0.0,0.0,0.0
32,TU,0,5.106517517839331,0.19814199453927492,0.10862651609988336,0.10837435120913522,0.10164865960748445,0.10594248439601059,55.017292519825986,0.0,0.0,0.0
33,TU,0,0.8851851162327513,11.961143225581909,28.940798928771816,2.0766672193685562,0.7381880857884368,0.7222175849423895,0.5062496222220851,0.0,0.0,0.0
34,TU,0,9.31486585893753,11.695675026008544,8.750083597594946,7.4089768638388875,9.649479691988573,14.488570295926369,14.112031249200083,0.0,0.0,0.0
35,TU,10,26.842715844295643,54.000012645631855,41.732138189290026,38.52898610261371,25.920084027641586,46.9562206842118,21.03216718368319,57.308811909011865,35.07147126264218,32.92823921879213
36,TU,10,11.980307670923981,45.58120914765754,26.555124022493295,29.554758124092302,38.467982759193866,34.44953307912895,38.00223546503547,24.022436477112393,25.834388123777952,24.967566982187094
37,TU,10,21.377357051094982,16.979271100963082,43.589822871102605,14.973258379487763,19.45525083853715,24.90762708910666,19.098386848108397,14.218467578821564,33.382235006811634,8.6404040790926
38,TU,10,21.727389187152703,17.654882357297083,35.98925874758885,31.132440156396346,29.77860692242167,23.479553663773082,27.837194244456462,38.445684892845904,20.16853205894023,25.50242033454864
39,TU,10,14.787302754052218,19.60243756685631,23.189624612744375,17.70666127873915,26.375248298546865,31.971427821997413,30.134348571854005,16.55130852621629,35.846620090258554,20.71338581545758
40,StAR:bPAC+,0,9.153822968980782,8.64161443609353,8.468279614913584,10.229666484167504,25.97888138404893,5.598876121231836,13.678952673724702,0.0,0.0,0.0
41,StAR:bPAC+,0,7.504107341476399,6.772507089172827,8.026360087212636,6.816237737931386,6.80814497904532,10.200565925918031,28.14620904161873,0.0,0.0,0.0
42,StAR:bPAC+,0,4.569906888690401,5.478372385344032,5.098794221431186,6.38222379266037,5.7366095858093775,6.050354590468235,9.457767493441574,0.0,0.0,0.0
43,StAR:bPAC+,0,8.271301800804995,9.797406986034623,0.1021375543078949,0.1336374573238987,0.3547466701746506,5.50985878766417,7.495710117126994,0.0,0.0,0.0
44,StAR:bPAC+,0,6.464558847407922,16.5153000611978,6.5744741898121974,6.764183479254907,5.90627038206007,4.294215312778347,22.33902081672337,0.0,0.0,0.0
45,StAR:bPAC+,10,28.354764580761444,26.30592035843073,37.919239143474385,27.820667541416043,35.932733437388244,42.72707533333986,53.01049069407017,60.78323602369407,20.936078972434174,29.990659933052488
46,StAR:bPAC+,10,22.495266540034613,30.09554908687329,29.434360546986582,41.42557275191859,20.409410649256866,49.374155553017815,29.763547297598784,24.385156410663022,41.512650518708156,18.528798978077344
47,StAR:bPAC+,10,23.905976492534236,18.45408254587586,21.17249450584413,22.887794016899058,20.926489712218817,41.71502125673677,15.215597230473735,22.585237073663844,30.278714101973502,34.89045217161851
48,StAR:bPAC+,10,23.56337756286224,21.94284666965752,28.09143572265398,39.757131641768375,19.27939603955477,26.23629018611433,27.66316693366831,17.59679896493962,18.327521086772755,26.604277434277368
49,StAR:bPAC+,10,18.381676894668775,33.15362415110148,23.06509115980251,20.093813918965207,42.973100548599,37.30085457768495,21.30381319318211,14.999793265575361,13.512924539861821,24.382401999187845
50,StAR:bPAC-,0,0.14084193267631273,0.12461813672174789,0.0858188790418477,0.44701580508971306,0.5595241281660759,0.11458664843689521,0.11403946685249042,0.0,0.0,0.0
51,StAR:bPAC-,0,21.3870389326392,6.0704093369063745,6.406776951330522,5.091441124436185,7.188626147602894,5.448319508472311,8.482727370958,0.0,0.0,0.0
52,StAR:bPAC-,0,13.948301477240877,43.45724293348578,7.893141880138731,6.195178277991678,5.911737140638104,13.817126658592944,9.744916293247474,0.0,0.0,0.0
53,StAR:bPAC-,0,12.114953598749214,13.365301151118896,6.08458323387887,16.71702358742429,10.676812598453722,15.631994296953932,31.36240842808473,0.0,0.0,0.0
54,StAR:bPAC-,0,24.114734770467614,6.867003774573009,7.156513173326801,7.170941372156102,19.26055117435635,15.686437709371752,1.0610508046271887,0.0,0.0,0.0
55,StAR:bPAC-,10,17.901186135005133,50.85932355593417,38.39013253981289,13.742251608339135,22.37018082450163,30.26576302854432,26.565355381400412,26.34351470766382,20.197695873539637,21.705695664615316
56,StAR:bPAC-,10,15.816486553593371,17.130847817898562,28.099227929606897,26.466760464590315,30.57693490279888,21.25683137558371,23.38064344794642,17.48290222188525,17.29078552206349,19.21953886673664
57,StAR:bPAC-,10,20.383983811316174,49.17007702808793,24.827220388605724,28.61209657107461,31.18478518396431,18.23143297083364,13.855214210238687,30.65371189823509,26.525661176302467,32.96541251023563
58,StAR:bPAC-,10,40.76880422379959,38.946951033404396,23.69997404428958,28.777836090750455,23.903833067640015,26.71476110392905,41.0143922174936,50.843228718188236,33.198474677082665,32.97814045454959
