,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,total
44,StAR:bPAC+,0,3.4249602305828435,3.1460399771236065,3.1633194948067844,3.024518191676424,2.9360460919145255,3.309481745754605,3.2044231994122665,2.422736255296493,4.5400091634989925,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.4405056693602876
45,StAR:bPAC+,10,3.903045653609092,3.883571169124823,6.365849254212408,7.006546953588769,7.58988380057819,6.41519053231262,6.873337391365941,7.53187818186488,10.999520718691,10.361518023138133,7.163502227279654,6.125285265973707,2.779597880617969,0,0,0,0,0,0,0,4.0143324754606775
46,StAR:bPAC+,10,4.622519407626502,0.5143878715316863,6.941657313714789,6.828310998809885,8.033563384191245,8.109075317522933,7.507518011435863,10.299277853460868,8.51384361397217,6.085262986644305,8.535729122680774,6.600901043389512,0.04367584938228863,0,0,0,0,0,0,0,3.2593850033762504
47,StAR:bPAC+,10,3.0965166453369153,1.9450622177087769,6.104043413599586,4.029969411404799,6.551975891449428,5.503362651979635,5.001944444611328,6.341176621071567,4.720088121227382,6.161554074470755,6.816414671306166,6.058656978021741,2.3303376055520792,0,0,0,0,0,0,0,3.4170510086427894
48,StAR:bPAC+,10,4.791265805819094,3.4985609365037518,8.118607416008883,6.398278433769534,6.266662521490311,5.896502261852839,5.142576842916625,6.683919339499255,5.226205026519623,6.536416378757876,5.559189466105148,5.015768991702241,0.0188710279375728,0,0,0,0,0,0,0,3.213724709875957
49,StAR:bPAC+,10,2.5706671340004945,2.0558835396087933,4.421098578967827,7.024380759532358,5.687245786933696,6.722148274550086,6.902611893092086,9.623233234892965,5.658333952773003,4.806947015236048,3.682442725219053,6.112034557378141,0.024338116906223627,0,0,0,0,0,0,0,2.2987205113389693
50,StAR:bPAC-,0,7.485051946474516,0.22588264499430147,0.36043159362234845,0.37896730872499285,0.03915654906103024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.1367421239608497
51,StAR:bPAC-,0,4.199887284430061,3.2435468646485512,3.1856135430860126,3.3753234731338915,3.771693830059959,2.84881015408421,3.5259957374441626,3.69299525322308,3.8477817686465996,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.5961535179892263
52,StAR:bPAC-,0,4.655057977440973,3.623646466310793,4.041016660112377,4.058345445428616,3.790481098854441,3.701187385164058,2.8521969704712524,2.916832274075031,3.8198460412355906,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.8717442729402642
53,StAR:bPAC-,0,4.176298191059694,3.919805716449512,5.255441326414027,4.961082540624293,3.0038417276891067,4.3374379680609785,4.677464255019958,6.983060640866558,5.041233536292606,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.36897238205344
